UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
180832, 2,"R",6,"Z",0,"R",6,"R",3,"R",0,"R",3,"R",9,"Z",0,"R",9,"R",6,"R",0,"R",6,"R",12,"Z",0,"R",12,"R",9,"R",1,"R",10,"R",27,"R",0,"R",27,"R",18,"R",1,"R",19
180832, 3,"R",4,"Z",0,"R",4,"Z",0,"R",3,"R",3,"R",7,"Z",0,"R",7,"Z",0,"R",6,"R",6,"R",2,"Z",0,"R",2,"Z",0,"R",2,"R",2,"R",13,"R",0,"R",13,"R",0,"R",11,"R",11
180878, 1,"R",22,"R",0,"R",22,"R",14,"R",0,"R",14,"R",23,"R",0,"R",23,"R",21,"R",0,"R",21,"R",8,"R",0,"R",8,"R",2,"R",3,"R",5,"R",53,"R",0,"R",53,"R",37,"R",3,"R",40
180878, 2,"R",21,"Z",0,"R",21,"R",14,"R",0,"R",14,"R",23,"Z",0,"R",23,"R",21,"R",0,"R",21,"R",8,"Z",0,"R",8,"R",2,"R",3,"R",5,"R",52,"R",0,"R",52,"R",37,"R",3,"R",40
180878, 3,"R",1,"Z",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
180902, 4,"R",276,"Z",0,"R",276,"A",,"A",,"R",119,"R",76,"Z",0,"R",76,"A",,"A",,"R",38,"R",262,"Z",0,"R",262,"A",,"A",,"R",118,"R",614,"R",0,"R",614,"A",,"A",,"R",275
180948, 1,"R",162,"R",0,"R",162,"R",51,"R",0,"R",51,"R",53,"R",0,"R",53,"R",16,"R",0,"R",16,"R",179,"R",0,"R",179,"R",83,"R",0,"R",83,"R",394,"R",0,"R",394,"R",150,"R",0,"R",150
180948, 2,"R",162,"Z",0,"R",162,"R",51,"R",0,"R",51,"R",53,"Z",0,"R",53,"R",16,"R",0,"R",16,"R",179,"Z",0,"R",179,"R",83,"R",0,"R",83,"R",394,"R",0,"R",394,"R",150,"R",0,"R",150
180957, 4,"R",28,"Z",0,"R",28,"A",,"A",,"R",24,"R",7,"Z",0,"R",7,"A",,"A",,"R",7,"R",6,"Z",0,"R",6,"A",,"A",,"R",6,"R",41,"R",0,"R",41,"A",,"A",,"R",37
180984, 1,"R",106,"R",0,"R",106,"R",52,"R",0,"R",52,"R",94,"R",0,"R",94,"R",62,"R",0,"R",62,"R",148,"R",0,"R",148,"R",109,"R",0,"R",109,"R",348,"R",0,"R",348,"R",223,"R",0,"R",223
180984, 2,"R",106,"Z",0,"R",106,"R",52,"R",0,"R",52,"R",94,"Z",0,"R",94,"R",62,"R",0,"R",62,"R",148,"Z",0,"R",148,"R",109,"R",0,"R",109,"R",348,"R",0,"R",348,"R",223,"R",0,"R",223
181002, 1,"R",156,"R",0,"R",156,"R",97,"R",2,"R",99,"R",282,"R",0,"R",282,"R",216,"R",8,"R",224,"R",681,"R",0,"R",681,"R",560,"R",18,"R",578,"R",1119,"R",0,"R",1119,"R",873,"R",28,"R",901
181002, 2,"R",154,"Z",0,"R",154,"R",97,"R",0,"R",97,"R",274,"Z",0,"R",274,"R",216,"R",0,"R",216,"R",663,"Z",0,"R",663,"R",560,"R",0,"R",560,"R",1091,"R",0,"R",1091,"R",873,"R",0,"R",873
181002, 3,"R",2,"Z",0,"R",2,"Z",0,"R",2,"R",2,"R",8,"Z",0,"R",8,"Z",0,"R",8,"R",8,"R",18,"Z",0,"R",18,"Z",0,"R",18,"R",18,"R",28,"R",0,"R",28,"R",0,"R",28,"R",28
181020, 1,"R",85,"R",0,"R",85,"R",33,"R",0,"R",33,"R",103,"R",0,"R",103,"R",59,"R",0,"R",59,"R",111,"R",0,"R",111,"R",75,"R",0,"R",75,"R",299,"R",0,"R",299,"R",167,"R",0,"R",167
181020, 2,"R",85,"Z",0,"R",85,"R",33,"R",0,"R",33,"R",103,"Z",0,"R",103,"R",59,"R",0,"R",59,"R",111,"Z",0,"R",111,"R",75,"R",0,"R",75,"R",299,"R",0,"R",299,"R",167,"R",0,"R",167
181127, 1,"R",99,"R",0,"R",99,"R",48,"R",0,"R",48,"R",94,"R",0,"R",94,"R",50,"R",0,"R",50,"R",113,"R",0,"R",113,"R",65,"R",0,"R",65,"R",306,"R",0,"R",306,"R",163,"R",0,"R",163
181127, 2,"R",99,"Z",0,"R",99,"R",48,"R",0,"R",48,"R",94,"Z",0,"R",94,"R",50,"R",0,"R",50,"R",113,"Z",0,"R",113,"R",65,"R",0,"R",65,"R",306,"R",0,"R",306,"R",163,"R",0,"R",163
181190, 4,"R",34,"Z",0,"R",34,"A",,"A",,"R",17,"R",6,"Z",0,"R",6,"A",,"A",,"R",6,"R",1,"Z",0,"R",1,"A",,"A",,"R",1,"R",41,"R",0,"R",41,"A",,"A",,"R",24
181215, 1,"R",374,"R",0,"R",374,"R",189,"R",16,"R",205,"R",140,"R",0,"R",140,"R",74,"R",6,"R",80,"R",383,"R",0,"R",383,"R",232,"R",19,"R",251,"R",897,"R",0,"R",897,"R",495,"R",41,"R",536
181215, 2,"R",300,"Z",0,"R",300,"R",164,"R",0,"R",164,"R",109,"Z",0,"R",109,"R",62,"R",0,"R",62,"R",321,"Z",0,"R",321,"R",213,"R",0,"R",213,"R",730,"R",0,"R",730,"R",439,"R",0,"R",439
181215, 3,"R",74,"Z",0,"R",74,"R",25,"R",16,"R",41,"R",31,"Z",0,"R",31,"R",12,"R",6,"R",18,"R",62,"Z",0,"R",62,"R",19,"R",19,"R",38,"R",167,"R",0,"R",167,"R",56,"R",41,"R",97
181297, 1,"R",12,"R",0,"R",12,"R",7,"R",1,"R",8,"R",11,"R",0,"R",11,"R",7,"R",1,"R",8,"R",16,"R",0,"R",16,"R",7,"R",3,"R",10,"R",39,"R",0,"R",39,"R",21,"R",5,"R",26
181297, 2,"R",12,"Z",0,"R",12,"R",7,"R",1,"R",8,"R",9,"Z",0,"R",9,"R",7,"R",1,"R",8,"R",14,"Z",0,"R",14,"R",7,"R",1,"R",8,"R",35,"R",0,"R",35,"R",21,"R",3,"R",24
181297, 3,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"Z",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"Z",0,"R",2,"R",2,"R",4,"R",0,"R",4,"R",0,"R",2,"R",2
181303, 4,"R",197,"Z",0,"R",197,"A",,"A",,"R",43,"R",14,"Z",0,"R",14,"A",,"A",,"R",3,"R",358,"Z",0,"R",358,"A",,"A",,"R",97,"R",569,"R",0,"R",569,"A",,"A",,"R",143
181312, 4,"R",149,"Z",0,"R",149,"A",,"A",,"R",61,"R",11,"Z",0,"R",11,"A",,"A",,"R",5,"R",160,"Z",0,"R",160,"A",,"A",,"R",80,"R",320,"R",0,"R",320,"A",,"A",,"R",146
181330, 1,"R",133,"R",1,"R",132,"R",45,"R",0,"R",45,"R",112,"R",1,"R",111,"R",54,"R",0,"R",54,"R",81,"R",0,"R",81,"R",41,"R",0,"R",41,"R",326,"R",2,"R",324,"R",140,"R",0,"R",140
181330, 2,"R",133,"R",1,"R",132,"R",45,"R",0,"R",45,"R",112,"R",1,"R",111,"R",54,"R",0,"R",54,"R",81,"R",0,"R",81,"R",41,"R",0,"R",41,"R",326,"R",2,"R",324,"R",140,"R",0,"R",140
181394, 1,"R",813,"R",0,"R",813,"R",376,"R",0,"R",376,"R",266,"R",0,"R",266,"R",116,"R",0,"R",116,"R",940,"R",0,"R",940,"R",467,"R",0,"R",467,"R",2019,"R",0,"R",2019,"R",959,"R",0,"R",959
181394, 2,"R",594,"Z",0,"R",594,"R",238,"R",0,"R",238,"R",198,"Z",0,"R",198,"R",93,"R",0,"R",93,"R",750,"Z",0,"R",750,"R",430,"R",0,"R",430,"R",1542,"R",0,"R",1542,"R",761,"R",0,"R",761
181394, 3,"R",219,"Z",0,"R",219,"R",138,"R",0,"R",138,"R",68,"Z",0,"R",68,"R",23,"R",0,"R",23,"R",190,"Z",0,"R",190,"R",37,"R",0,"R",37,"R",477,"R",0,"R",477,"R",198,"R",0,"R",198
181419, 1,"R",14,"R",0,"R",14,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",0,"R",4,"R",0,"R",1,"R",1,"R",18,"R",0,"R",18,"R",0,"R",3,"R",3
181419, 3,"R",14,"Z",0,"R",14,"Z",0,"R",2,"R",2,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",4,"Z",0,"R",4,"Z",0,"R",1,"R",1,"R",18,"R",0,"R",18,"R",0,"R",3,"R",3
181446, 1,"R",127,"R",1,"R",126,"R",76,"R",0,"R",76,"R",117,"R",0,"R",117,"R",80,"R",0,"R",80,"R",162,"R",0,"R",162,"R",123,"R",0,"R",123,"R",406,"R",1,"R",405,"R",279,"R",0,"R",279
181446, 2,"R",127,"R",1,"R",126,"R",76,"R",0,"R",76,"R",117,"R",0,"R",117,"R",80,"R",0,"R",80,"R",162,"R",0,"R",162,"R",123,"R",0,"R",123,"R",406,"R",1,"R",405,"R",279,"R",0,"R",279
