UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
101161,12, 12,"R",57,"R",51
101161,13, 13,"R",15,"R",12
101161,17, 17,"R",1,"R",1
101161,18, 18,"R",1,"Z",0
101161,19, 19,"R",2,"Z",0
101161,22, 22,"R",4,"R",4
101161,26, 26,"R",1,"R",1
101161,28, 28,"R",11,"R",7
101161,30, 30,"R",1,"R",1
101161,32, 32,"R",1,"Z",0
101161,42, 42,"R",2,"R",2
101161,47, 47,"R",1,"R",1
101161,48, 48,"R",4,"R",3
101161,58,999,"R",1470,"R",1140
101161,98, 98,"R",35,"A",
101161,99, 99,"R",1505,"R",1140
101189, 1,  1,"R",162,"R",130
101189, 6,  6,"R",7,"R",2
101189,12, 12,"R",21,"R",20
101189,13, 13,"R",13,"R",13
101189,15, 15,"R",1,"Z",0
101189,17, 17,"R",1,"Z",0
101189,18, 18,"R",1,"R",1
101189,20, 20,"R",1,"R",1
101189,21, 21,"R",1,"Z",0
101189,22, 22,"R",3,"R",1
101189,24, 24,"R",1,"Z",0
101189,25, 25,"R",1,"Z",0
101189,28, 28,"R",2,"R",2
101189,32, 32,"R",1,"R",1
101189,35, 35,"R",1,"R",1
101189,47, 47,"R",8,"R",8
101189,48, 48,"R",3,"R",2
101189,49, 49,"R",1,"Z",0
101189,58,999,"R",229,"R",182
101189,98, 98,"R",20,"A",
101189,99, 99,"R",249,"R",182
101240, 1,  1,"R",1025,"R",762
101240,12, 12,"R",1,"R",1
101240,13, 13,"R",15,"R",9
101240,18, 18,"R",1,"R",1
101240,22, 22,"R",2,"R",1
101240,29, 29,"R",1,"R",0
101240,42, 42,"R",1,"R",0
101240,58,999,"R",1046,"R",774
101240,90, 90,"R",2,"R",0
101240,98, 98,"R",31,"A",
101240,99, 99,"R",1079,"R",774
101286, 1,  1,"R",659,"R",505
101286, 8,  8,"R",1,"Z",0
101286, 9,  9,"R",1,"R",1
101286,12, 12,"R",7,"R",5
101286,13, 13,"R",16,"R",13
101286,42, 42,"R",1,"R",0
101286,45, 45,"R",1,"Z",0
101286,57, 57,"R",1,"R",1
101286,58,999,"R",687,"R",525
101286,98, 98,"R",19,"A",
101286,99, 99,"R",706,"R",525
101295, 1,  1,"R",1248,"R",969
101295, 6,  6,"R",2,"R",1
101295,12, 12,"R",5,"R",2
101295,13, 13,"R",7,"R",5
101295,22, 22,"R",2,"R",2
101295,28, 28,"R",2,"R",1
101295,35, 35,"R",1,"R",1
101295,36, 36,"R",1,"Z",0
101295,37, 37,"R",3,"R",3
101295,45, 45,"R",1,"R",1
101295,47, 47,"R",4,"R",3
101295,48, 48,"R",1,"R",1
101295,58,999,"R",1277,"R",989
101295,90, 90,"R",8,"R",5
101295,99, 99,"R",1285,"R",994
101301, 1,  1,"R",263,"R",185
101301,12, 12,"R",5,"R",5
101301,17, 17,"R",2,"R",0
101301,18, 18,"R",1,"R",0
101301,58,999,"R",271,"R",190
101301,99, 99,"R",271,"R",190
101435, 1,  1,"R",218,"R",214
101435, 4,  4,"R",1,"R",1
101435, 5,  5,"R",1,"R",1
101435, 6,  6,"R",1,"R",1
101435,11, 11,"R",1,"R",1
101435,12, 12,"R",34,"R",34
101435,13, 13,"R",25,"R",25
101435,18, 18,"R",1,"R",1
101435,21, 21,"R",4,"R",4
101435,22, 22,"R",2,"R",2
101435,28, 28,"R",2,"R",2
101435,29, 29,"R",1,"R",1
101435,31, 31,"R",1,"R",1
101435,33, 33,"R",1,"R",1
101435,35, 35,"R",1,"R",1
101435,37, 37,"R",3,"R",3
101435,45, 45,"R",2,"R",2
101435,47, 47,"R",5,"R",5
101435,48, 48,"R",4,"R",4
101435,53, 53,"R",1,"R",1
101435,58,999,"R",309,"R",305
101435,99, 99,"R",309,"R",305
101453, 1,  1,"R",2,"R",2
101453,13, 13,"R",1,"Z",0
101453,40, 40,"R",1,"R",1
101453,47, 47,"R",1,"Z",0
101453,54, 54,"R",1,"R",1
101453,58,999,"R",6,"R",4
101453,99, 99,"R",6,"R",4
101462, 1,  1,"R",135,"R",69
101462,15, 15,"R",1,"R",1
101462,36, 36,"R",1,"R",1
101462,58,999,"R",137,"R",71
101462,98, 98,"R",10,"A",
101462,99, 99,"R",147,"R",71
101480, 1,  1,"R",1319,"R",1189
101480, 2,  2,"R",1,"R",1
101480,10, 10,"R",1,"R",1
101480,12, 12,"R",12,"R",10
101480,13, 13,"R",324,"R",310
101480,15, 15,"R",2,"R",2
101480,17, 17,"R",2,"R",1
101480,18, 18,"R",4,"R",3
101480,19, 19,"R",1,"R",1
101480,22, 22,"R",1,"R",1
101480,25, 25,"R",1,"R",0
101480,26, 26,"R",1,"R",1
101480,28, 28,"R",3,"R",3
101480,29, 29,"R",2,"R",2
101480,34, 34,"R",2,"R",2
101480,36, 36,"R",3,"R",3
101480,37, 37,"R",3,"R",2
101480,38, 38,"R",1,"R",1
101480,39, 39,"R",3,"R",3
101480,42, 42,"R",1,"R",1
101480,45, 45,"R",1,"R",1
101480,47, 47,"R",5,"R",5
101480,48, 48,"R",6,"R",5
101480,51, 51,"R",2,"R",2
101480,54, 54,"R",1,"R",1
101480,57, 57,"R",4,"R",3
101480,58,999,"R",1706,"R",1554
101480,90, 90,"R",109,"R",33
101480,99, 99,"R",1815,"R",1587
101505, 1,  1,"R",1250,"R",870
101505, 5,  5,"R",2,"R",1
101505, 6,  6,"R",3,"R",2
101505, 8,  8,"R",3,"R",0
101505,12, 12,"R",4,"R",2
101505,13, 13,"R",1,"R",0
101505,17, 17,"R",1,"R",0
101505,18, 18,"R",2,"R",0
101505,21, 21,"R",1,"R",0
101505,22, 22,"R",1,"R",0
101505,27, 27,"R",1,"R",0
101505,28, 28,"R",1,"R",1
101505,29, 29,"R",2,"R",0
101505,31, 31,"R",1,"R",0
