UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
216278, 7,11,2,2,"45 ","R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
216278, 8,12,2,2,"50 ","R",633,"R",282,"R",351,"R",4,"R",0,"R",4,"R",13,"R",4,"R",9,"R",31,"R",14,"R",17,"R",51,"R",27,"R",24,"R",1,"R",1,"R",0,"R",497,"R",224,"R",273,"R",19,"R",9,"R",10,"R",16,"R",2,"R",14,"R",1,"R",1,"R",0
216278, 9,13,2,2,"29A","R",469,"R",200,"R",269,"R",3,"Z",0,"R",3,"R",11,"R",4,"R",7,"R",17,"R",10,"R",7,"R",35,"R",18,"R",17,"R",1,"R",1,"Z",0,"R",379,"R",162,"R",217,"R",11,"R",5,"R",6,"R",12,"Z",0,"R",12,"Z",0,"Z",0,"Z",0
216278,12,16,2,2,"18A","R",469,"R",200,"R",269,"R",3,"Z",0,"R",3,"R",11,"R",4,"R",7,"R",17,"R",10,"R",7,"R",35,"R",18,"R",17,"R",1,"R",1,"Z",0,"R",379,"R",162,"R",217,"R",11,"R",5,"R",6,"R",12,"Z",0,"R",12,"Z",0,"Z",0,"Z",0
216278,13,17,2,2,"19 ","R",421,"R",172,"R",249,"R",3,"Z",0,"R",3,"R",10,"R",4,"R",6,"R",13,"R",9,"R",4,"R",26,"R",14,"R",12,"R",1,"R",1,"Z",0,"R",346,"R",140,"R",206,"R",10,"R",4,"R",6,"R",12,"Z",0,"R",12,"Z",0,"Z",0,"Z",0
216278,14,18,2,2,"20 ","R",42,"R",26,"R",16,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",4,"R",1,"R",3,"R",8,"R",4,"R",4,"R",0,"R",0,"Z",0,"R",28,"R",20,"R",8,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
216278,15,19,2,2,"21 ","R",6,"R",2,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"Z",0,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0
216278,40,11,1,1,"999","R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
216278,42,32,1,1,"999","R",164,"R",82,"R",82,"R",1,"R",0,"R",1,"R",2,"R",0,"R",2,"R",14,"R",4,"R",10,"R",16,"R",9,"R",7,"R",0,"R",0,"R",0,"R",118,"R",62,"R",56,"R",8,"R",4,"R",4,"R",4,"R",2,"R",2,"R",1,"R",1,"R",0
216278,44,32,2,2,"23 ","R",164,"R",82,"R",82,"R",1,"R",0,"R",1,"R",2,"R",0,"R",2,"R",14,"R",4,"R",10,"R",16,"R",9,"R",7,"R",0,"R",0,"R",0,"R",118,"R",62,"R",56,"R",8,"R",4,"R",4,"R",4,"R",2,"R",2,"R",1,"R",1,"R",0
216287, 1,10,1,1,"999","R",392,"R",194,"R",198,"R",1,"Z",0,"R",1,"R",64,"R",29,"R",35,"R",27,"R",5,"R",22,"R",45,"R",23,"R",22,"Z",0,"Z",0,"Z",0,"R",154,"R",84,"R",70,"R",28,"R",13,"R",15,"R",21,"R",11,"R",10,"R",52,"R",29,"R",23
216287, 2,12,1,1,"999","R",392,"R",194,"R",198,"R",1,"R",0,"R",1,"R",64,"R",29,"R",35,"R",27,"R",5,"R",22,"R",45,"R",23,"R",22,"R",0,"R",0,"R",0,"R",154,"R",84,"R",70,"R",28,"R",13,"R",15,"R",21,"R",11,"R",10,"R",52,"R",29,"R",23
216287, 3,13,1,1,"999","R",369,"R",179,"R",190,"R",1,"R",0,"R",1,"R",60,"R",27,"R",33,"R",27,"R",5,"R",22,"R",40,"R",20,"R",20,"R",0,"R",0,"R",0,"R",146,"R",78,"R",68,"R",28,"R",13,"R",15,"R",19,"R",9,"R",10,"R",48,"R",27,"R",21
216287, 6,10,2,2,"10 ","R",392,"R",194,"R",198,"R",1,"R",0,"R",1,"R",64,"R",29,"R",35,"R",27,"R",5,"R",22,"R",45,"R",23,"R",22,"R",0,"R",0,"R",0,"R",154,"R",84,"R",70,"R",28,"R",13,"R",15,"R",21,"R",11,"R",10,"R",52,"R",29,"R",23
216287, 8,12,2,2,"50 ","R",392,"R",194,"R",198,"R",1,"R",0,"R",1,"R",64,"R",29,"R",35,"R",27,"R",5,"R",22,"R",45,"R",23,"R",22,"R",0,"R",0,"R",0,"R",154,"R",84,"R",70,"R",28,"R",13,"R",15,"R",21,"R",11,"R",10,"R",52,"R",29,"R",23
216287, 9,13,2,2,"29A","R",369,"R",179,"R",190,"R",1,"R",0,"R",1,"R",60,"R",27,"R",33,"R",27,"R",5,"R",22,"R",40,"R",20,"R",20,"R",0,"R",0,"R",0,"R",146,"R",78,"R",68,"R",28,"R",13,"R",15,"R",19,"R",9,"R",10,"R",48,"R",27,"R",21
216287,12,16,2,2,"18A","R",369,"R",179,"R",190,"R",1,"R",0,"R",1,"R",60,"R",27,"R",33,"R",27,"R",5,"R",22,"R",40,"R",20,"R",20,"R",0,"R",0,"R",0,"R",146,"R",78,"R",68,"R",28,"R",13,"R",15,"R",19,"R",9,"R",10,"R",48,"R",27,"R",21
216287,13,17,2,2,"19 ","R",299,"R",137,"R",162,"R",1,"R",0,"R",1,"R",45,"R",18,"R",27,"R",25,"R",4,"R",21,"R",33,"R",19,"R",14,"R",0,"R",0,"R",0,"R",116,"R",57,"R",59,"R",24,"R",11,"R",13,"R",17,"R",9,"R",8,"R",38,"R",19,"R",19
216287,14,18,2,2,"20 ","R",64,"R",38,"R",26,"R",0,"R",0,"R",0,"R",11,"R",7,"R",4,"R",2,"R",1,"R",1,"R",7,"R",1,"R",6,"R",0,"R",0,"R",0,"R",29,"R",20,"R",9,"R",4,"R",2,"R",2,"R",2,"R",0,"R",2,"R",9,"R",7,"R",2
216287,15,19,2,2,"21 ","R",6,"R",4,"R",2,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0
216287,41,31,1,1,"999","R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1
